phrasal_verb,meaning_1,meaning_2,meaning_3
break down,сломаться,"не выдержать, разрыдаться",потерпеть неудачу
bring up,воспитывать ребенка,"поднять тему, упомянуть",сто́шнить
carry on,продолжать,вести себя шумно / эмоционально,
come across,случайно натолкнуться на что-либо,производить определённое впечатление,
cut off,"отрезать, отключить","прервать, изолировать",лишить чего-либо
do over,переделать,вломиться кому-то,
fall apart,развалиться,разрушиться эмоционально,потерпеть крах
figure out,"понять, разобраться",выяснить решение проблемы,
get away with,сделать что-то и избежать наказания,сойти с рук,
give in,"уступить, сдаться",поддаться давлению,
go through,пройти через что-то,просмотреть,"испытать, пережить"
hold on,держись!,подожди,не сдавайся
let down,подвести кого-то,разочаровать,
make up,мириться,придумать,"составить, компенсировать"
pick on,"дразнить, придираться",травить кого-то,
put off,откладывать,отбить желание,отвращать
run into,столкнуться случайно,врезаться,
show off,"выпендриваться, хвастаться",показать себя,
take after,пойти в кого-то,быть похожим на родственника,
turn down,отклонить,уменьшить,
back off,отступить,"отвязаться, не вмешиваться",
call off,отменить,прекратить,
check out,"оценить, заценить",выписаться,проверить что-либо
drop out,"бросить учебу, вылететь",выйти из процесса,
end up,оказаться в итоге где-то / кем-то,в конечном итоге,
fall for,влюбиться,"поверить в обман, купиться",
get by,"выживать, справляться",обходиться малым,
hand in,сдать,подать,
keep up,не отставать,продолжать,
let out,выпустить,издать,дать выход
