word_en,word_ru,level,sensitive,medium,hardcore,sensitive_ru,medium_ru,hardcore_ru
salary,зарплата,B1,Salary is nice. Too bad it disappears by the 10th.,My salary lasts shorter than my patience.,"My salary shows up just to remind me I'm poor, but employed.","Зарплата — это мило. Жаль, что к десятому числу её уже нет.","Моя зарплата заканчивается быстрее, чем терпение.","Моя зарплата приходит лишь для того, чтобы напомнить: я беден, но трудоустроен."
mistake,ошибка,B1,Everyone makes mistakes. Mine just have better timing.,"I called it a choice. Turns out, it was a mistake.",My whole career was built on one glorious mistake: trusting myself.,Все совершают ошибки. Мои — просто с идеальным таймингом.,"Я назвал это выбором. Оказалось, это была ошибка.",Вся моя карьера построена на одной славной ошибке — я поверил в себя.
burnout,выгорание,B2,Burnout is real. Especially when your job is your personality.,"I’m not tired, just emotionally bankrupt.","I reached burnout so deep, even my therapist cried.",Эмоциональное выгорание — это не шутка. Особенно когда твоя работа — это твоя личность.,"Я не устал, просто эмоционально банкрот.","Я выгорел так глубоко, что даже мой терапевт заплакал."
relationship,отношения,B1,Relationships are great… until they involve people.,Every relationship ends. Some just take longer to admit it.,My last relationship was a TED Talk on how to ignore red flags.,Отношения — это здорово… пока в них не появляются люди.,Каждые отношения заканчиваются. Просто некоторые дольше это отрицают.,"Мои последние отношения — это TED Talk о том, как игнорировать красные флаги."
success,успех,B2,Success feels great — until the next expectation arrives.,I finally succeeded… at lowering everyone’s standards.,My success? Surviving this life without committing a crime.,Успех — это кайф… пока не появится следующее «ну ты же можешь ещё».,Я наконец-то добился успеха… в занижении чужих ожиданий.,Мой успех? Просто выжить в этой жизни и не сесть.
friendship,дружба,B1,Friendship is sharing memes at 2am instead of feelings.,Some friendships expire. Mine came with a warning label.,My friendships are like my Wi-Fi — unstable and mostly useless.,"Дружба — это когда кидаешь мемы в два ночи вместо того, чтобы говорить о чувствах.",Некоторые дружбы имеют срок годности. Моя — ещё и с предупреждением.,Мои дружбы как Wi-Fi — нестабильны и в основном бесполезны.
job,работа,B1,Having a job builds character. Mostly resentment.,My job is just paid disappointment in 8-hour chunks.,I don’t work. I just exist somewhere people yell for money.,Работа формирует характер. В основном из обиды.,Моя работа — это оплачиваемое разочарование по восемь часов в день.,"Я не работаю. Я просто существую там, где на меня кричат за деньги."
help,помощь,B1,Asking for help is brave. Not getting it is classic.,I asked for help and got a lecture. Love that.,"Every time I ask for help, God puts me on hold.",Просить о помощи — это смело. Не получить её — классика.,Я попросил помощи — получил лекцию. Прелесть.,"Каждый раз, когда я прошу о помощи, Бог ставит меня на удержание."
goal,цель,B1,Goals are dreams with deadlines — and anxiety.,I set goals just to disappoint myself on schedule.,My only real goal? Survive this mess with Wi-Fi.,Цели — это мечты с дедлайнами… и тревожкой в придачу.,"Я ставлю цели, чтобы разочаровываться строго по расписанию.",Моя единственная цель? Пережить весь этот бардак с работающим Wi-Fi.
choice,выбор,B1,Choices are hard. Especially when both suck.,I made a choice. Regret arrived in 3… 2… 1…,My choices aged me 10 years and ruined my sleep.,Делать выбор сложно. Особенно когда оба варианта — отстой.,Я сделал выбор. И вот уже подоспело сожаление: три… два… один…,Мои жизненные выборы состарили меня на 10 лет и испортили сон.
